ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B72891.Lima.Huamatanga	Huamatanga	a	m	20.9	10.41	2.72	NA	71.88	80.17	41.71	12.11	21.58	15.61
B72889.Lima.Huamatanga	Huamatanga	a	m	21.9	9.82	2.74	4.01	68.41	NA	NA	10.61	20.34	15.47
B72756.Pasco.LaQuinua	LaQuinua	a	m	30.7	11.06	3.08	4.88	82.43	88.65	44.75	14.37	24.32	17.7
B72759.Pasco.LaQuinua	LaQuinua	a	m	28.7	11.64	3.45	4.47	81.56	86.55	46.85	11.5	23.81	18.03
B72760.Pasco.LaQuinua	LaQuinua	a	m	30.1	12.07	damaged	4.54	80.13	87.31	46.9	14.22	22.84	18.16
B72758.Pasco.LaQuinua	LaQuinua	a	m	30	11.37	3.48	4.62	83.21	90.17	47.89	12.7	23.55	18.22
B72755.Pasco.LaQuinua	LaQuinua	a	f	29.8	damaged	damaged	damaged	79.63	88.69	49.38	12.43	22.45	18.69
B72754.Pasco.LaQuinua	LaQuinua	a	m	29.3	11.75	2.8	4.42	83.51	86.99	50.42	14.05	24.74	18.69
B72753.Pasco.LaQuinua	LaQuinua	a	f	27.6	10.75	2.79	4.77	77.95	83.65	56.49	13.87	23.21	18.23
B72757.Pasco.LaQuinua	LaQuinua	a	f	30.3	10.94	2.75	4.37	77.33	molt	molt	molt	23.13	19.12
LSU78306.Pasco.LaQuinua	LaQuinua	a	f	30	10.21	3.41	4.31	74.4	molt	molt	molt	23.51	17.94
LSU75208.Pasco.Huariaca	LaQuinua	j	u	25	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72885.Cajamarca.Llama	Llama	a	m	20	11.19	2.7	damaged	68.11	73.96	34.72	8.99	19.82	17.63
B72880.Cajamarca.Llama	Llama	j	m	17	9.09	2.53	3.53	NA	73.38	36.74	9.41	19.71	17.23
B72884.Cajamarca.Llama	Llama	a	f	20.3	10.44	2.84	3.95	68.65	74.12	36.85	9.08	20.22	17.14
B72882.Cajamarca.Llama	Llama	a	m	17.1	10.51	2.4	3.57	67.93	73.31	37.02	10.99	21.11	17.38
B72883.Cajamarca.Llama	Llama	a	f	20.1	10.41	2.95	3.82	68.96	72.41	37.98	11.09	21.62	15.31
B72886.Cajamarca.Llama	Llama	a	f	19.8	9.19	2.7	3.95	68.46	66.83	39.75	9.33	21.42	16.93
B72881.Cajamarca.Llama	Llama	a	m	18	9.94	2.76	damaged	71.18	78.73	44.66	10.89	19.61	17.52
B72887.Cajamarca.Llama	Llama	a	m	19.9	10.29	2.74	4.06	71.15	75.03	44.84	9.49	20.24	16.35
